RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31
102001,0,United States,country,,1251.0862469019594,1257.8731090393537,1267.2014759899328,1276.6225249438035,1286.2318769135377,1294.483842540772,1300.6487658586946,1304.4259222288613,1306.5043464526218,1307.0704087489994,1307.5362177183147,1308.0091675982856,1311.2713028294631,1316.499580762281,1323.0694828083422,1331.1658201104603,1339.6865398064965,1348.1973466244929,1353.2763712344686,1355.6098250771083,1355.5287907038633,1353.9943944821473,1352.684243647461,1351.7948611333609,1356.6765620117776,1364.7175892484834,1376.875234312589,1387.0123509775192,1396.7676632219986,1404.2211055509408,1409.3652403287897,1411.111868889176,1411.4090878408003,1409.8355328001703,1409.6598259347898,1410.6303424591679,1415.6293451301212,1423.4051420213787,1433.3844139501002,1443.4170764413295,1452.0631556312455,1459.9516270190502,1465.6793134978732,1469.1368283753077,1468.5920571305967,1467.7097039696873,1468.3415012789794,1470.5364454488385,1475.136105060503,1481.5092925317579,1492.2471352875332,1502.7282615102579,1513.0126664098364,1521.370216641987,1527.648181868377,1530.9938102011208,1530.9555027994015,1529.501152636651,1528.462073822552,1529.634629673317,1535.04429307487,1543.498143259681,1552.0328304134196,1552.3784173820777,1550.9866638614901,1550.9788833466966,1556.188043090671,1557.5756032257038,1554.8845035018473,1551.8862865664287,1550.661673914014,1552.975093674707,1559.996609552142,1571.5979088467657,1587.4346926503965,1608.110497664702,1635.3309646938637,1666.958034467032,1700.4518725087141,1731.5057683373477,1756.7357978122554,1772.6673139179354,1783.0889497637652,1793.2032930009684,1804.4884399827556,1820.6963121984488,1837.4100527157539,1859.190218690624,1881.2964370882266,1904.7107653819055,1924.142382195944,1935.3951509745839,1938.5861435762886,1934.606464909975,1928.7644120878322,1925.6636603844377,1927.661523621296,1934.5420803563004,1946.4950804932246,1957.9686643477742,1970.8435485335433,1979.9946058159576,1989.8245543945552,1995.8329590062076,1998.7074405975543,1997.6675812888675,1994.3721678238362,1992.185797931248,1995.3121375843373,2003.4737272868967,2014.9032204926632,2026.7223304328954,2038.685308814883,2049.5289173683204,2058.2551578774737,2062.8478793541412
394913,1,"New York, NY",msa,NY,2403.039862813867,2418.5608732610917,2437.296527906019,2458.876773879155,2475.222448022283,2492.493442483127,2503.4715588027234,2513.8457624478006,2517.9353701444757,2516.081012586552,2506.6527845644887,2497.2545303369066,2493.3904231621623,2497.7943824839062,2505.9345960788296,2519.0321845689764,2533.8402826890833,2549.462424464733,2563.0278895301303,2567.465029892827,2568.2322986850854,2560.4713754988175,2555.2767754186966,2543.058354262496,2539.3656885805644,2539.8702799805037,2551.9199648887416,2566.8002674600334,2585.7902073353516,2601.6116090071882,2612.958247989043,2615.7785512697433,2613.6044174363287,2599.555398959207,2583.3245801387557,2569.5510894186473,2567.6384279925987,2574.637539349149,2587.7149021495125,2608.3323534421684,2627.623546288549,2646.213039049035,2659.1046365627894,2669.0737652202397,2669.7541770084945,2659.795780212737,2648.3066132072718,2637.0251886242404,2637.0147290131927,2645.7187749030722,2662.6552089491393,2680.8667586222564,2702.6083655051816,2724.989764540176,2741.532343140853,2748.7795137646585,2746.9814686402156,2741.7526196300364,2729.3683294172074,2721.180410134853,2720.523137830499,2734.1966561848803,2744.433803949352,2738.024547308687,2720.1882834670578,2695.6846738156437,2669.1045810761534,,,2518.891671879597,2485.1088433042282,2471.994082309326,2470.0995324514543,2484.307729282887,2506.9812851483853,2537.052127844898,2584.444531349267,2642.3683899646726,2707.9152805925473,2770.6270238806464,2821.2766196867437,2856.4804160063213,2879.2333476423983,2900.247274370895,2925.126037607098,2959.6468864773824,3000.4241190171097,3044.707766260361,3099.833076566869,3157.5968631236665,3210.277954891907,3239.8253382102444,3243.1421095299006,3225.4272218542205,3196.4269695950125,3174.642682037795,3170.4397612841753,3184.1428522302795,3212.577499081523,3248.382919536366,3286.744145178763,3320.053469389719,3343.7417476635324,3354.175832649807,3353.908579014369,3338.6584668231003,3315.0018326358972,3296.9240820132686,3300.9755279332403,3320.0680597536134,3352.9121987243666,3382.8611362644,3417.7672394311617,3447.2488599370113,3465.656290956514,3471.059215567779
753899,2,"Los Angeles, CA",msa,CA,1847.8359259733854,1860.2147961158105,1876.4619815340577,1889.9844833915151,1904.7428443986917,1916.5522731344759,1931.126509297254,1941.540365561465,1951.615177671048,1956.9621273774742,1961.7428580032563,1967.7092130776819,1977.0314354236375,1989.1731477284707,2001.5639713062592,2010.823308025528,2024.8349578674754,2037.614138675729,2051.6507803554277,2057.412183000658,2062.7273881895317,2064.295637383774,2067.1256264632484,2069.9914933548716,2083.954409709422,2100.2407224556164,2121.77773056903,2136.2096337270605,2149.971147126914,2159.60956902332,2169.306869451049,2174.638974136566,2179.724651619578,2181.128021087552,2186.1021995071033,2190.102387947075,2201.429665550463,2213.389095596199,2225.57822392754,2234.848028625846,2243.0280101045205,2254.7502906485206,2265.188359551601,2274.719661805545,2278.756239348103,2282.9979506013583,2288.642244537965,2294.5003072530017,2300.0831148677407,2304.6510129837056,2316.829756996835,2327.072786892367,2339.1404577652797,2347.722055165038,2356.636182424564,2363.091653398863,2367.288992929203,2369.6474480408165,2372.508598579957,2375.9592025337283,2383.2215859765884,2387.982395924393,2387.972184707865,2375.1529958604006,2362.9902419858718,2355.5961259384712,2356.460487144624,2356.2861600857846,2355.42023292803,2357.036468118771,2358.8926355648873,2358.8764650559287,2366.2646127818607,2375.763287884508,2390.8574884145464,2402.875155578844,2424.009763259355,2459.592247212851,2508.454400019847,2564.1981880051117,2606.885612227687,2633.8858260444485,2649.187280357506,2667.9605477638715,2687.875061413914,2714.797606058946,2739.2953987742585,2770.585027125535,2796.853085762574,2822.540861413821,2843.260333480334,2858.391538657375,2864.1253806587533,2859.095162729284,2851.197371142419,2843.95769865682,2842.894725863866,2847.8401573273813,2861.527053687699,2873.8497669577114,2884.03081855689,2892.7565109507395,2905.812348458159,2919.087946736265,2923.4628971031034,2921.6182944401767,2908.5584043079757,2900.9050685844636,2905.282346012938,2918.1230220073558,2935.1582705103247,2945.4395877133807,2960.3824761157416,2973.8581316845457,2987.751601152063,2993.7896496597186
394463,3,"Chicago, IL",msa,IL,1419.6493287877204,1426.652583934888,1436.3751830202975,1445.4965928290983,1455.8409691670645,1465.5959001210892,1470.1100524658304,1472.7938428066564,1467.7323082219011,1460.632733123351,1454.1659927693229,1454.3394936078855,1461.971379191743,1471.4567536095017,1482.7890645330922,1490.5855844812224,1498.5439521286476,1506.7216066369579,1513.1560374715957,1516.8618872398333,1509.9176410790167,1499.8552248176616,1487.7981075668952,1481.9595605772915,1488.2143472620808,1502.418147210025,1521.2795654725444,1535.1059612451463,1546.7921397678394,1552.6391624274086,1554.4665729823348,1549.6466721565396,1543.5562528588243,1532.245199025271,1525.5025820354394,1522.6326733883623,1531.035775731959,1542.3585163641596,1556.1122999046293,1567.4087993952407,1577.5910683703837,1586.1850427205698,1590.5712856161558,1588.6540339405828,1578.6685550445582,1567.3072327697885,1559.9238868123507,1560.8434189246375,1569.7852546991412,1580.4745421494633,1595.74087075262,1608.6971876514322,1620.8208459307837,1627.9443563180014,1631.1400866360152,1630.8418821681903,1625.8741001171957,1619.0388473915718,1612.1203466550915,1607.5348714950821,1615.969866052044,1627.5804837056487,1642.1645556153849,1643.3800340185405,1642.0548531471484,1638.8048758123668,1637.7167943823747,1631.8057411119514,1617.1063135947754,1595.5141605507238,1577.6981207911379,1569.7472587528835,1571.5008528857331,1582.400219360477,1599.319432776433,1625.8798090348089,1653.0326844642364,1679.5035817145495,1699.0776012349395,1712.816859719392,1720.1325067383855,1720.0368314069083,1719.8051024941278,1725.0824929655398,1738.4457163232553,1754.5282445027976,1774.4177742031127,1797.9121401128737,1824.1031883710393,1845.2292173342612,1862.3251416125183,1870.1672158009073,1871.4660972893637,1867.6423123308898,1862.4904955888799,1862.4722819404942,1869.4494361901516,1884.1126394479086,1902.0786959175273,1920.8612329444481,1942.1278255501768,1961.8118384132774,1973.9007528979027,1980.004003464068,1976.5816212090006,1969.576413699668,1962.5659165860852,1965.5781078323037,1974.9968268534292,1989.6738082203588,2003.8573179665311,2024.5214738576676,2043.299998293537,2061.312554838483,2070.573842320534,2073.9157828544285
394514,4,"Dallas, TX",msa,TX,1130.435226106689,1135.8342599955508,1143.639655595459,1155.8620114000505,1165.9909966788493,1174.6918596663481,1181.3040673954958,1185.2850876148862,1186.6817626884986,1186.6116395684326,1187.4059791212853,1189.3943101909954,1191.1536625254628,1196.8084025539017,1205.5844325053704,1216.8096650375194,1225.6380463155128,1232.64193396367,1237.3610162970272,1240.9094415595875,1241.5470292683083,1242.03919324345,1241.9871064891024,1242.343338158568,1247.5361187045405,1253.9136941707227,1267.0053125196382,1276.667623880606,1289.218277576566,1295.5163296141668,1300.7375262508815,1301.8976856300906,1301.0995878355607,1298.4869622991969,1300.016597004615,1300.742425094278,1305.667946387036,1311.7260726305128,1319.1491222529773,1326.89785683683,1331.9544412381058,1340.5284251537585,1344.8131493939882,1347.0297672980894,1344.0273503404815,1345.688448981842,1346.5401731110212,1349.0304140992034,1351.8098121895675,1356.4965506890246,1368.1367229980963,1377.7300785592442,1386.9564920151486,1394.0132583664001,1397.6980505586484,1400.4508960054902,1399.7089070262623,1398.578184908373,1395.9863662897226,1391.6993877163961,1394.247892604312,1400.671416980248,1409.54996716717,1409.7896193407366,1408.5245592639064,1409.3034288649967,1413.8449306348577,1418.289067811752,1420.0989426652636,1423.1327683963661,1424.8571400502879,1428.8425754149084,1434.0371006567805,1443.4128377951843,1454.4623685733902,1474.2122505180978,1500.8216838864112,1535.8923353602902,1571.7992055825493,1604.944548817672,1630.1891037770004,1645.8458306202276,1658.3355562027286,1668.0648092291171,1679.2814407782787,1691.5317544720513,1705.3297719904624,1725.555689921508,1748.8113099888562,1778.6852532662983,1800.488319444666,1809.1825412344624,1805.3546123362842,1792.559047356624,1782.539186470979,1772.9506594926443,1772.528666438288,1774.6238808217088,1784.9297568500542,1789.127929461953,1797.320069131416,1802.4009665634821,1811.0046301108428,1812.7764645893187,1809.3688651076934,1803.576815898416,1798.6022989447702,1791.3842614243579,1786.8961636719448,1783.437890607806,1787.4648974642848,1792.2528473808372,1800.1895978766752,1806.613106592704,1813.0489435039917,1816.2048173731437
394692,5,"Houston, TX",msa,TX,1256.7269310453164,1260.5333516348087,1267.2999008367713,1277.4315057162357,1287.136951542749,1295.4626824549644,1297.93258717467,1299.224555849348,1296.6445788071069,1292.9794670235565,1289.1989804352722,1286.3679709577327,1287.4716269568776,1289.8277593283874,1296.286119691288,1300.1366982557674,1303.1045463324908,1303.750127438294,1303.7016561740008,1301.0430813342255,1295.7294780208172,1291.653156141262,1286.2801957191612,1284.0143892408444,1284.8937642145459,1293.114089694487,1301.569270872992,1306.752668896461,1314.1547422586684,1316.1429586478275,1316.9880338565488,1312.029694480699,1319.0116700231624,1327.2336681006932,1338.582301852648,1344.041137336422,1347.4037434216145,1352.960699564775,1354.6609134309963,1361.603947826139,1364.2602314807566,1369.93165655412,1369.9611275503019,1368.6943231684484,1364.3497623757469,1365.0051895799393,1367.365279563674,1367.9460050567411,1368.7819963485963,1367.5968321627618,1374.9029222237184,1379.9287170676157,1388.9821242408689,1394.8517299182722,1398.5939272542626,1398.0301699034942,1394.917262192206,1394.2848074794745,1394.1736557474796,1397.4690227214546,1400.31420726501,1407.1254221164656,1412.501184338297,1409.4396671442898,1402.1025833606552,1396.0818804938967,1400.1901391228928,1405.4633394002005,1406.7686670747144,1409.0313679077522,1411.0321529861326,1411.9518763095098,1413.498964225835,1413.9227828521018,1422.0199298797565,1434.8247379544998,1456.6685347684054,1484.7920782475842,1511.814180207266,1536.475676182603,1550.8163820714924,1558.613070304469,1563.0997304448665,1567.295157653617,1574.116032274609,1584.2760115824406,1595.3419337669366,1608.3534601989138,1620.9011894317268,1636.6097769444725,1649.08499071737,1655.5397799317718,1653.4628337238732,1648.8134060709174,1643.0658553345882,1641.6533304144843,1645.3600742654357,1653.5299406403528,1665.1854497181816,1671.594341048469,1681.6478465447385,1689.581283439773,1696.6513563362535,1697.3871752469258,1693.906814574494,1689.8368279178833,1686.1500642061262,1685.1875388427018,1688.098895655497,1693.0751623793592,1698.3305027925207,1706.7685233950888,1716.6707140567253,1726.7709885137235,1731.8932996514952,1734.9309700348358
395209,6,"Washington, DC",msa,VA,1766.3118088976917,1772.952232583093,1784.9333398816896,1793.6486274581064,1803.4702120203422,1810.2847835283562,1814.1804252513457,1811.7222459920226,1810.5105955967106,1805.681756704846,1805.109225256237,1801.02413051203,1804.736905403125,1808.3996467487405,1816.6612991359991,1824.5095810341052,1833.8634175695759,1840.949718564921,1844.8744145930502,1845.7856643077703,1842.1091057901642,1836.256706414892,1830.5897611187609,1826.9168066172201,1832.5471040917769,1844.7167606797514,1859.2877818802235,1870.4051756604988,1876.584904858988,1884.2156918751327,1887.559233402466,1887.436122317719,1884.9721821749501,1879.631806539872,1873.5197623242682,1869.2657655915013,1872.1786730598055,1879.075718099922,1892.1154878954646,1904.2323020507115,1916.078407871978,1924.6724222498415,1930.6116926018553,1934.9680208786385,1930.0573415328683,1927.0410257552287,1927.6394545727053,1932.594623542615,1937.52899926525,1943.3152332746458,1953.406925686446,1964.87583047603,1976.4191826895187,1985.858159939663,1991.4178435661988,1992.9449341288505,1992.4034889909142,1986.3413824904057,1979.840492260323,1980.3154558495378,1989.4254234849402,1999.15741866042,2008.748280247351,2007.1825902048279,2004.3537909948543,1997.42395904559,1995.544757773765,1990.8280294653205,1976.6528278888507,1958.728369663609,1938.0172349527593,1927.1157067746803,1928.5974914996902,1936.5944694889408,1947.0955099790801,1962.6735699352603,1991.7966488408497,2030.7854654654313,2070.2291435876423,2102.485956167793,2122.296097438129,2132.700183728557,2133.689419645599,2134.3390984042876,2136.072771381458,2147.5886776545076,2166.6399297206362,2190.838919140134,2217.092263804492,2243.354374640818,2268.801347406878,2281.2102826027385,2281.6099782994124,2265.3246773735095,2248.666435631615,2235.8377743056385,2238.048487865661,2249.7796114069793,2272.6277291822526,2288.8444936266337,2307.8740774533226,2320.1204246560656,2336.8339739817097,2347.56255980095,2351.7005717078796,2350.074188945602,2345.1364771068133,2339.2939432156627,2343.6420620052545,2357.9927361598297,2380.9637268322267,2400.643054219447,2418.9573412927793,2438.7617594783337,2456.136778365447,2464.6337405843124
394974,7,"Philadelphia, PA",msa,PA,1245.659344752251,1252.1820140376267,1264.414058631685,1271.113702549122,1276.834412499357,1279.83223197492,1281.787007499361,1283.1120719298594,1282.3602719262476,1281.8440202271925,1277.7390615646016,1274.2942896110983,1275.203335465568,1283.9106431825803,1293.3676939202169,1302.6992469632642,1308.5081876514155,1315.5955297213684,1316.8349129067674,1316.320833491066,1313.4272694762124,1311.229147779232,1313.5717297336105,1312.976845217432,1317.778903487186,1323.471936022369,1335.8698063649995,1344.5926568419432,1350.5753932658458,1351.5814260975158,1352.007925515646,1352.2895446392847,1351.5528113749203,1350.7200108166003,1349.2949346110202,1352.0332788852936,1355.9304065588776,1363.8355002418598,1374.775834626308,1384.6769259051848,1393.5263623629962,1397.3025044074618,1398.0309268216095,1396.9528477092574,1395.630153794212,1397.6291479622553,1401.1414729130997,1400.8245686492382,1404.799772078324,1411.3534011731917,1425.672746078295,1436.7442969823032,1444.0761863687314,1451.5544281934217,1455.1286601986258,1455.2131009440548,1451.222103684473,1450.2359485807347,1450.732706819493,1454.3597044100384,1457.4777200943543,1468.1596008737615,1477.947802966448,1482.1522972777523,1481.9221185899728,1482.2570319572578,1487.9180428738935,1487.8315361604814,1487.2974704236765,1486.5513823555623,1489.1340755817946,1492.4515130689863,1496.5850903994765,1502.4771445009312,1510.7510212914588,1526.4659916687413,1548.552826888899,1570.1381395650776,1590.0748554718793,1607.4895689745158,1616.43139949845,1626.3135296494413,1634.7981926370246,1652.1815486196156,1662.453226635173,1673.797617798643,1684.044190199166,1698.3100760936034,1712.9473217905092,1728.56564405205,1741.8733886012726,1748.2181142189313,1749.216330630084,1744.5572898293856,1742.8729094782384,1739.4780799282269,1743.4680939637865,1745.472043505129,1756.4071199730097,1765.067181142105,1776.2578995439362,1781.39578118812,1789.7813738044679,1797.5309184514556,1807.406968546829,1812.0687382911685,1814.088372453839,1810.942554025391,1811.9418089481476,1818.590213484753,1828.039160348809,1836.2012274738333,1842.9251231666294,1852.4236562750316,1862.028610450887,1870.1262891513188
394856,8,"Miami, FL",msa,FL,1522.5732365959311,1528.89059248261,1534.597228842975,1541.6933647559672,1550.5286711590686,1559.7551787069383,1569.2853186330237,1576.703722776723,1588.056181137963,1596.1087288763351,1606.0230651114268,1608.7226495499183,1612.6942684162125,1614.1913010388832,1618.121836214949,1618.9097004130365,1618.50815423342,1617.8078508052924,1620.3119062378155,1623.321035799648,1628.64219756337,1631.8605491019375,1635.98997788406,1635.638586051159,1640.662345855881,1644.3949230944986,1652.5549587305804,1655.0094430440854,1657.5079045478108,1660.4301070243384,1666.2698854809057,1673.5366865012365,1680.6930416143555,1685.940973765533,1688.2425896782647,1689.1663003888145,1691.5938269540807,1694.3242445675573,1698.2254720117774,1701.97703391855,1706.6005669596423,1712.210641102159,1718.6688836041537,1725.42603943466,1730.3303268292107,1736.799366154677,1744.1544424071747,1750.035533867087,1750.067710711873,1748.4827014279685,1749.4246445303374,1753.1647586994345,1758.049407458394,1762.5754815045877,1767.900296878359,1772.8574812100221,1779.387236409927,1788.5275021074765,1798.7313104246505,1806.0471767475483,1808.7483135859413,1812.2577577149652,1812.663449202231,1806.0697902541428,1796.0814894397456,1794.7565863025884,1800.0615174673705,1805.9629576617085,1811.5308526854235,1825.1158171910595,1844.0357961762475,1860.174204351818,1875.7765223764807,1898.893452018742,1927.9841058434042,1963.5904918289011,2004.8675919870298,,,2193.2167745595557,2254.6377174362888,2301.770416887259,2348.7918478918245,2397.2624416477283,2440.9435283836565,2476.357208231249,2515.1598875494874,2556.0719999634807,2596.3314296340295,2623.7986525985275,2644.490833495529,2654.067208411383,2663.5767707589125,2668.5044088178056,2677.1869707911815,2681.399680410708,2680.7486597938023,2680.9544711782632,2685.1398609553326,2693.3742514696287,2701.892538263176,2708.6611679602156,2714.9511176048563,2721.295625147368,2729.5501663928435,2741.9151407132495,2751.463555934971,2748.7455138750724,2745.849423078787,2749.3185272164233,2759.5610432440526,2768.879452759802,2770.6547801110987,2774.5318454736807,2780.148361950903,2786.9510649193544
394347,9,"Atlanta, GA",msa,GA,1051.1634517640332,1056.6935617990475,1060.3764133142315,1070.9176987687442,1079.0045014612572,1090.872494121212,1097.3381485204018,1100.8118617618495,1101.4340725415818,1101.639421963146,1102.643958865617,1106.15596261863,1110.5543349807633,1117.870136521936,1125.3813300658494,1132.989876581954,1142.0592628922634,1151.2644235893436,1160.404985265041,1164.5966545917397,1164.676368198366,1164.608988675446,1164.5827425735872,1166.9948436539985,1171.441541894851,1180.4178077956335,1192.2907877753162,1204.4255141756087,1216.5824790786032,1227.248841526372,1236.2354079686459,1240.4170785822487,1243.043771481678,1240.4016286248198,1241.899630064629,1243.1358283920417,1250.6592682604157,1259.0718389537262,1270.9864056813378,1283.0517811853133,1294.4231228205595,1302.9858230166885,1309.1848044990757,1312.2971948015213,1313.0194093981274,1317.866206081375,1323.0259148285852,1328.3537351090931,1334.4653924567808,1342.1502448058543,1354.8124700815797,1365.627840904566,1376.313788244343,1385.1594252966695,1390.4987744751254,1395.188441277647,1397.7626751661003,1397.3033470008018,1394.5980537764171,1394.0914306458942,1398.9988287133904,1407.6994125342287,1415.9450023864251,1418.7097022585128,1421.7199390020921,1429.1117766348596,1444.473487771667,1458.2206798449677,1468.498307423315,1475.5876574241654,1481.818722551307,1487.6628518425334,1499.4599016691602,1516.3562008137314,1535.9048941451815,1559.3448784563257,1589.0490453564032,1629.433563067942,1673.3010482585878,1717.6807608562788,1750.1367036383433,1770.5500423231442,1777.8534752613987,1781.443728263926,1785.623092410661,1792.6150021307599,1804.9497497155494,1818.0830816743864,1837.155968801844,1858.8969589379808,1883.7363511909957,1897.319614935526,1900.8236954824295,1891.9085593111454,1882.267891439336,1877.7592111475417,1876.261640211803,1882.0385265726663,1890.8872764590524,1898.7643169917762,1904.094906807495,1904.6386174727872,1908.3821848292255,1908.7825533996795,1908.0348523010452,1899.9601727238007,1888.9384132111531,1881.294446066809,1885.4859392264768,1896.8105221598194,1902.7792661174872,1907.664248272017,1913.8119410809516,1921.549230941249,1927.2437255487291,1925.5913875814265
